,Company,Optimal Fast-Slow-Signal,Total Return,Base Fast-Slow-Signal,Base Returns
0,ADANIENT.NS,"(2, 34, 20)",41.74254837399114,"(12, 26, 9)",4.240726921154077
1,ADANIPORTS.NS,"(2, 3, 7)",5.805943438421978,"(12, 26, 9)",-0.2121702585843792
2,APOLLOHOSP.NS,"(11, 12, 19)",3.5167081084306187,"(12, 26, 9)",-0.048175575135013846
3,ASIANPAINT.NS,"(9, 12, 18)",8.103583191093218,"(12, 26, 9)",1.6209155712370025
4,AXISBANK.NS,"(34, 35, 3)",3.6823937681394727,"(12, 26, 9)",0.00503316828412693
5,BAJAJ-AUTO.NS,"(34, 35, 7)",4.638634971514192,"(12, 26, 9)",0.30534836107824487
6,BAJFINANCE.NS,"(34, 43, 3)",51.92954808811523,"(12, 26, 9)",8.840424256605749
7,BAJAJFINSV.NS,"(22, 32, 18)",17.97210314363718,"(12, 26, 9)",4.060813212732298
8,BPCL.NS,"(19, 21, 13)",6.028363130270886,"(12, 26, 9)",1.094613767187096
9,BHARTIARTL.NS,"(38, 39, 5)",2.6467784878786063,"(12, 26, 9)",0.22817914913947362
10,BRITANNIA.NS,"(37, 39, 19)",10.44346244883058,"(12, 26, 9)",3.061691801462542
11,CIPLA.NS,"(20, 23, 15)",2.8917348679932373,"(12, 26, 9)",0.4324830469353148
12,COALINDIA.NS,"(34, 41, 20)",1.7608660815384138,"(12, 26, 9)",-0.19901176987945263
13,DIVISLAB.NS,"(19, 24, 2)",6.845660998591686,"(12, 26, 9)",1.337356266099637
14,DRREDDY.NS,"(3, 4, 20)",3.915566086056831,"(12, 26, 9)",0.5900797736796086
15,EICHERMOT.NS,"(2, 3, 15)",24.70687632545085,"(12, 26, 9)",1.3002214940309833
16,GRASIM.NS,"(20, 22, 8)",4.7398173379609485,"(12, 26, 9)",1.5174407560732446
17,HCLTECH.NS,"(28, 29, 10)",5.996419396501556,"(12, 26, 9)",1.2091432555711272
18,HDFCBANK.NS,"(33, 36, 6)",4.571600739360841,"(12, 26, 9)",0.21230188093318858
19,HDFCLIFE.NS,"(2, 3, 9)",1.6040796449353183,"(12, 26, 9)",0.14277866656376048
20,HEROMOTOCO.NS,"(7, 9, 14)",3.2048016212208843,"(12, 26, 9)",-0.30725301156740187
21,HINDALCO.NS,"(20, 21, 5)",3.1033991356379294,"(12, 26, 9)",-0.000898196440925716
22,HINDUNILVR.NS,"(41, 42, 2)",5.113840696844274,"(12, 26, 9)",0.9921436998721903
23,HDFC.NS,"(40, 42, 11)",2.8875661023778116,"(12, 26, 9)",0.12024770810078962
24,ICICIBANK.NS,"(35, 43, 18)",3.1111951265437074,"(12, 26, 9)",0.42690358837668485
25,ITC.NS,"(9, 10, 4)",2.6267658806393697,"(12, 26, 9)",-0.4125102355774588
26,INDUSINDBK.NS,"(29, 32, 2)",11.697479972679467,"(12, 26, 9)",0.5591139713903952
27,INFY.NS,"(19, 21, 14)",4.124411162920886,"(12, 26, 9)",0.7541221056692539
28,JSWSTEEL.NS,"(12, 23, 15)",7.935311774786938,"(12, 26, 9)",1.8276943366419147
29,KOTAKBANK.NS,"(49, 50, 2)",6.167032253319906,"(12, 26, 9)",0.49831702489152024
30,LT.NS,"(31, 32, 11)",4.561967997690096,"(12, 26, 9)",0.13577551247441774
31,M&M.NS,"(36, 42, 13)",2.805262865295208,"(12, 26, 9)",0.6132039503886659
32,MARUTI.NS,"(35, 36, 9)",6.146598802754617,"(12, 26, 9)",1.157279003000067
33,NTPC.NS,"(3, 20, 19)",1.0687210898939217,"(12, 26, 9)",-0.11084910666624836
34,NESTLEIND.NS,"(7, 10, 12)",3.5919218637855606,"(12, 26, 9)",1.1197854103868126
35,ONGC.NS,"(22, 37, 2)",2.230508193817945,"(12, 26, 9)",-0.09110290202159803
36,POWERGRID.NS,"(16, 18, 19)",1.9921501235581045,"(12, 26, 9)",0.22315900407315795
37,RELIANCE.NS,"(14, 16, 15)",5.450003615759957,"(12, 26, 9)",1.3299930629797208
38,SBILIFE.NS,"(44, 46, 4)",0.9879918270918536,"(12, 26, 9)",0.07145947726972267
39,SBIN.NS,"(17, 18, 17)",4.115360515225643,"(12, 26, 9)",0.06192410120469063
40,SUNPHARMA.NS,"(15, 25, 18)",3.443610918843425,"(12, 26, 9)",0.32856032210608616
41,TCS.NS,"(8, 13, 8)",2.7037779917175784,"(12, 26, 9)",0.3353741791433646
42,TATACONSUM.NS,"(34, 35, 3)",7.748187154259643,"(12, 26, 9)",0.6938751624654859
43,TATAMOTORS.NS,"(17, 19, 10)",9.0283227620566,"(12, 26, 9)",1.3464963913094135
44,TATASTEEL.NS,"(9, 36, 13)",7.136012925766777,"(12, 26, 9)",1.9086865344807098
45,TECHM.NS,"(14, 18, 16)",6.373067211280464,"(12, 26, 9)",1.7841729412784963
46,TITAN.NS,"(24, 26, 20)",19.179792311913385,"(12, 26, 9)",3.1023310308227043
47,UPL.NS,"(31, 39, 19)",8.498374658244224,"(12, 26, 9)",2.397085200874067
48,ULTRACEMCO.NS,"(2, 4, 3)",6.6360522850738075,"(12, 26, 9)",0.8890542835659051
49,WIPRO.NS,"(21, 22, 8)",3.8733620894673755,"(12, 26, 9)",0.5233425849700939
